Rank	PLAYER	TEAM	POS	AGE	GP	MPG	MIN%	USG%	TOr	FTA	FT%	2PA	2P%	3PA	3P%	TS%	PPG	RPG	TRB%	APG	AST%	SPG	BPG	VI
95	Josh Richardson	Mia	SG	22	14	27.6	57.5	13.2	0.112	14	0.714	43	0.372	46	0.37	0.489	6.6	3.6	7.6	1.6	8.5	0.43	0.93	4.9
96	Josh Smith	Hou	PF	30	4	9.4	19.5	20.7	0.265	2	0	5	0.4	8	0.5	0.576	4	0.5	2.8	1	20.2	0.25	0.25	5.4
97	Justin Anderson	Dal	SF	22	5	19	39.6	23.5	0.104	14	0.643	25	0.52	12	0.333	0.544	9.4	4	12.3	1.4	13.2	0.8	0.6	7.9
98	Justise Winslow	Mia	SF	19	13	25.4	52.8	14.3	0.121	30	0.7	56	0.482	18	0.278	0.516	6.9	4.8	11.3	0.6	3.7	0.62	0.31	4.3
99	Kawhi Leonard	San	SF	24	10	33.9	70.5	28.1	0.078	51	0.824	127	0.52	39	0.436	0.597	22.5	6.3	10.8	2.8	14.7	2.6	1.4	8.7
100	Kelly Olynyk	Bos	C	24	4	7.9	16.4	17.7	0.308	0	0	6	0.167	3	0	0.111	0.5	1	6.6	0.8	14.2	0.25	0	3.7
101	Kemba Walker	Cha	PG	25	7	37.1	77.3	33.1	0.067	35	0.943	111	0.378	42	0.333	0.472	22.7	3.3	5.1	4	24	1.43	0.57	7.2
102	Kent Bazemore	Atl	SF	26	10	32.5	67.8	19.4	0.071	22	0.682	59	0.475	62	0.258	0.455	11.9	6.6	10.9	1.9	9.4	1.4	0.6	6.5
103	Kentavious Caldwell-Pope	Det	SG	22	4	40.3	83.9	17.2	0.036	7	0.714	23	0.435	27	0.444	0.575	15.3	4.3	6.4	2.8	11.1	1.75	0.25	5.6
104	Kevin Durant	Okc	SF	27	18	40.3	84	32.1	0.121	146	0.89	297	0.485	110	0.282	0.542	28.4	7.1	9.8	3.3	14.9	1	1	8.7
105	Kevin Love	Cle	PF	27	20	30.6	63.8	22.6	0.09	75	0.84	128	0.359	111	0.414	0.539	14.7	8.8	16.9	2.1	10.6	0.45	0.4	8.5
106	Kevin Martin	San	SG	32	5	9.9	20.5	25.8	0.22	3	0.667	12	0.333	8	0.5	0.516	4.4	0.8	4.7	0.6	9.5	0.2	0	5.2
107	KJ McDaniels	Hou	SF	22	4	8.4	17.6	15.8	0	0	0	10	0.3	3	0.333	0.346	2.3	1.8	10.9	0.3	5.2	0	0.75	5.1
108	Klay Thompson	Gol	SG	25	24	35.4	73.7	28	0.087	96	0.854	220	0.468	232	0.422	0.589	24.3	3.7	5.6	2.3	11.2	1.08	0.38	6.7
109	Kris Humphries	Atl	PF	30	4	14	29.2	26	0.061	6	1	18	0.444	10	0.5	0.604	9.3	6	23	1	13.6	0.5	1.25	10.9
110	Kyle Anderson	San	SF	22	10	12.9	26.8	11.6	0.125	7	0.857	22	0.318	3	0.333	0.41	2.3	2.4	10.8	0.7	7.3	0.6	0.3	4.9
111	Kyle Korver	Atl	SG	34	10	31.6	65.9	12.3	0.092	9	1	21	0.524	54	0.444	0.652	10.3	4.8	8.2	1.1	5.4	1	0.4	4.8
112	Kyle Lowry	Tor	PG	29	20	38.3	79.8	26.5	0.144	104	0.75	192	0.464	138	0.304	0.508	19.1	4.7	7.4	6	29.2	1.6	0.15	8.5
113	Kyle Singler	Okc	SF	27	6	8.4	17.5	8.5	0	2	0	5	0.2	4	0.5	0.405	1.3	1.2	7.7	0	0	0.17	0	0
114	Kyrie Irving	Cle	PG	23	21	36.8	76.8	30.5	0.094	88	0.875	307	0.489	116	0.44	0.574	25.2	3	4.7	4.7	23.5	1.71	0.62	7.7
115	LaMarcus Aldridge	San	PF	30	10	33.7	70.3	27.6	0.055	46	0.891	167	0.515	2	1	0.579	21.9	8.3	14.2	1	5.4	0.4	1.4	6.7
116	Lance Stephenson	Mem	SF	25	4	23.7	49.5	23.8	0.061	5	0.8	39	0.538	5	0.4	0.563	13	1.5	3.7	1.8	17.4	0.25	0	5.5
117	Lavoy Allen	Ind	PF	26	6	8.5	17.7	10.4	0.091	0	0	10	0.3	0	0	0.3	1	2.3	15.8	0.3	6.3	0.17	0.17	4.2
118	Leandro Barbosa	Gol	SG	33	23	11.1	23	18.7	0.102	21	0.762	60	0.667	28	0.393	0.663	5.6	1.2	5.7	0.7	9.7	0.48	0.04	6
119	LeBron James	Cle	SF	31	21	39.1	81.5	30.8	0.137	124	0.661	323	0.579	94	0.34	0.585	26.3	9.5	14.4	7.6	36.6	2.33	1.29	12.7
120	Luc Mbah a Moute	Lac	PF	29	5	15.7	32.7	4.8	0.237	1	1	6	0.667	0	0	0.699	1.8	2	6.3	0.2	1.8	0.6	0	2.3
121	Lucas Nogueira	Tor	C	23	5	5.8	12.1	6.4	0	0	0	4	0.75	0	0	0.75	1.2	1.6	16.5	0	0	0	0	0
122	Luis Scola	Tor	PF	35	11	12.8	26.6	13.5	0.122	11	0.727	10	0.4	21	0.19	0.391	2.5	1.6	7.7	0.6	7.7	0.27	0	4.2
123	Luol Deng	Mia	PF	30	14	35.3	73.6	17.1	0.129	38	0.842	81	0.506	57	0.421	0.601	13.3	5.9	9.9	1.6	7.2	0.93	0.64	5.7
124	Manu Ginobili	San	SG	38	10	19.2	40.1	15.5	0.109	23	0.783	25	0.44	22	0.409	0.586	6.7	2.7	8.1	2.5	18.5	0.8	0.3	7.4
125	Marcus Morris	Det	SF	26	4	36	75	21.7	0.08	23	0.87	29	0.517	18	0.389	0.621	17.8	3.3	5.5	2.5	11.6	0.5	0	5.9
126	Marcus Smart	Bos	PG	21	6	32.1	66.8	18.8	0.178	21	0.81	28	0.393	32	0.344	0.52	12	4.5	7.3	3	15.9	1.67	0.83	6.8
127	Marreese Speights	Gol	C	28	24	8.4	17.5	33.1	0.132	31	0.774	75	0.373	43	0.419	0.509	5.6	2	12.7	0.5	9.5	0.13	0.33	8.5
128	Marvin Williams	Cha	PF	29	7	32.5	67.7	11.5	0.037	4	0.5	34	0.235	17	0.353	0.341	5.1	6.7	11.8	0.9	4.4	0.86	0.43	3.9
129	Mason Plumlee	Por	C	25	11	27.8	58	15.3	0.228	33	0.636	70	0.4	0	0	0.456	7	11.8	21.8	4.8	25.7	0.64	1	10.6
130	Matt Barnes	Mem	SF	35	4	34.8	72.5	20.9	0.205	10	0.8	28	0.464	18	0.167	0.427	10.8	7	11.7	2.8	14.3	1.25	0.25	6.9
131	Matthew Dellavedova	Cle	PG	25	20	12.1	25.1	18.9	0.142	24	0.75	43	0.419	31	0.258	0.461	3.9	0.8	3.7	2.8	33.6	0.05	0.05	6.8
132	Maurice Harkless	Por	SF	22	11	24.7	51.5	20.8	0.083	25	0.48	66	0.485	44	0.341	0.5	11	5.1	10.6	0.6	4.3	0.91	0.27	5.2
133	Michael Beasley	Hou	SF	27	5	16.1	33.4	28.8	0.125	7	0.857	40	0.5	6	0.333	0.53	10.4	4.2	13.8	0.6	9	0.2	0	7.4
134	Mike Muscala	Atl	C	24	9	7.4	15.5	16	0.126	2	1	14	0.571	6	0.333	0.575	2.7	1.9	13.7	0.3	7.4	0	0.11	6.2
135	Mike Scott	Atl	PF	27	10	16.1	33.5	14.3	0.155	8	0.875	24	0.708	16	0.5	0.747	6.5	3.2	10.7	0.5	5.2	0.3	0.3	5.4
136	Mo Williams	Cle	PG	33	13	5.2	10.9	26.4	0.257	2	0.5	15	0.333	13	0.231	0.346	1.5	0.5	5.2	0.2	6.5	0.31	0	4.1
137	Monta Ellis	Ind	SG	30	7	32.2	67.1	20.8	0.175	10	0.8	55	0.473	21	0.333	0.504	11.6	3.9	6.9	4.3	24.6	2.14	0	7.2
138	Montrezl Harrell	Hou	PF	22	2	5.8	12.1	17.3	0.205	2	0.5	2	0.5	1	0	0.387	1.5	1	9.1	0	0	0	0	0
139	Myles Turner	Ind	C	19	7	28.2	58.7	21.2	0.138	9	0.667	69	0.478	2	0	0.48	10.3	6.4	13.1	0.4	2.9	0.29	3.29	4.2
140	Nick Collison	Okc	PF	35	9	8.7	18.2	4.4	0.127	2	0.5	6	0.667	0	0	0.654	1	1.2	7.8	0.6	8.5	0.89	0	4.1
141	Nicolas Batum	Cha	SF	27	5	28.8	59.9	20.5	0.129	20	0.85	23	0.478	22	0.273	0.53	11.4	3.6	7.2	2	12.7	0.4	0	6
142	Norman Powell	Tor	SG	22	18	11.4	23.8	17.7	0.064	8	0.875	44	0.455	26	0.269	0.462	3.8	1.5	7.9	0.3	5.1	0.72	0.11	4.2
143	Pablo Prigioni	Lac	PG	38	5	5.2	10.8	13.8	0.375	0	0	3	0	2	0	0	0	0.6	5.7	1.4	35	0	0	0
144	Patrick Beverley	Hou	PG	27	5	25.7	53.6	14	0.092	6	1	23	0.304	14	0.214	0.366	5.8	4.4	9	2.2	14	0.4	0.4	6
145	Patrick Patterson	Tor	PF	26	20	29.1	60.7	13.2	0.109	26	0.846	66	0.515	70	0.3	0.519	7.7	3.9	7.9	1.2	6.8	0.35	0.45	4.5
146	Patty Mills	San	PG	27	10	16.7	34.8	18.4	0.122	11	0.636	17	0.588	36	0.361	0.571	6.6	1.4	4.8	2	17.9	0.7	0	6.3
147	Paul George	Ind	SF	25	7	39.3	82	30.4	0.132	64	0.953	80	0.475	43	0.419	0.632	27.3	7.6	11	4.3	22.5	2	0.71	9.8
148	Paul Millsap	Atl	PF	30	10	36.5	76.1	23	0.139	55	0.745	104	0.49	33	0.242	0.518	16.7	9.4	13.8	2.7	12.5	1.3	2.3	8.2
149	Paul Pierce	Lac	SF	38	5	10.7	22.4	13.1	0.127	4	0.25	7	0.143	5	0.2	0.218	1.2	1.2	5.5	0.2	2.5	0.4	0	2.5
150	PJ Hairston	Mem	SF	23	2	11.1	23.1	16.3	0.127	2	0	3	0.333	3	0.333	0.363	2.5	0	0	0	0	0.5	0	0
151	Randy Foye	Okc	SG	32	16	11.9	24.7	12.3	0.205	4	1	15	0.4	26	0.308	0.468	2.5	1.3	5.9	0.8	9.5	0.13	0.19	4.6
152	Raymond Felton	Dal	PG	31	5	34.5	71.8	23.1	0.14	11	0.636	55	0.509	14	0.286	0.508	15	4.6	7.8	4.6	24.2	1.2	0	7.9
153	Reggie Bullock	Det	SF	24	2	11	22.8	13.8	0	0	0	3	1	3	0.667	1	6	1	5.6	1.5	26.2	0.5	0	7.6
154	Reggie Jackson	Det	PG	25	4	36.8	76.6	22.8	0.15	4	1	37	0.595	18	0.167	0.502	14.3	3.3	5.4	9.3	43.4	1.5	0.5	8.3
155	Richard Jefferson	Cle	SF	35	21	18.2	37.8	12.8	0.123	20	0.75	56	0.589	28	0.393	0.614	5.4	3.5	11.5	0.7	5.4	0.48	0.05	5.2
156	RJ Hunter	Bos	SG	22	5	8.2	17.1	10.5	0.1	0	0	4	0.25	5	0.2	0.278	1	1.2	7.6	0.6	11.2	0	0.2	4.4
157	Rodney Stuckey	Ind	PG	29	7	17.8	37.1	20.4	0.113	9	0.556	33	0.364	10	0.5	0.468	6.3	2.1	6.9	2	20.4	0.57	0.14	6.7
158	Russell Westbrook	Okc	PG	27	18	37.4	78	34.3	0.146	140	0.829	288	0.434	105	0.324	0.515	26	6.9	10.3	11	52.4	2.56	0.11	13.4
159	Salah Mejri	Dal	C	29	4	19	39.6	9.3	0	12	0.417	10	0.7	0	0	0.622	4.8	3.3	10	0.3	2	0.75	1.25	3.5
160	Serge Ibaka	Okc	PF	26	18	33.5	69.7	13	0.05	20	0.75	94	0.574	69	0.449	0.629	12	6.3	10.5	0.6	2.5	0.78	1.33	4.3
161	Shaun Livingston	Gol	PG	30	24	21.4	44.6	18.2	0.136	37	0.865	167	0.491	1	0	0.532	8.2	3.2	8	3.3	24	0.5	0.21	8.3
162	Solomon Hill	Ind	SF	24	7	28.3	59	10	0.073	16	0.938	12	0.25	19	0.579	0.71	7.7	4	8.1	1.1	6.5	0.29	0	4.6
163	Spencer Hawes	Cha	PF	27	5	10.7	22.2	17.6	0.204	6	0.833	9	0.556	4	0.25	0.575	3.6	3	16.1	0.6	10.2	0.2	0.4	7
164	Stanley Johnson	Det	SF	19	4	20.4	42.4	16.6	0.112	2	1	13	0.462	10	0.6	0.67	8	4	12	0	0	0.25	0	0
165	Stephen Curry	Gol	PG	27	18	34.1	71.1	32	0.167	83	0.916	141	0.475	196	0.408	0.602	25	5.5	8.7	5.2	26.7	1.44	0.28	10.5
166	Steve Blake	Det	PG	35	4	10.8	22.5	12.7	0.46	2	0.5	3	0	2	0.5	0.34	1	1	5.6	2.5	31.8	0	0	5
167	Steven Adams	Okc	C	22	18	30.7	64	12.6	0.106	73	0.63	110	0.618	1	0	0.636	10.1	9.5	17.3	0.7	3.5	0.5	0.78	5.3
168	Terrence Ross	Tor	SF	24	20	16.8	35	20	0.11	20	0.65	55	0.455	65	0.323	0.489	6.3	1.6	5.7	0.6	5.8	0.65	0.25	4.3
169	Terry Rozier	Bos	PG	21	5	19.7	41.1	11.3	0.077	2	1	12	0.417	11	0.364	0.503	4.8	3.4	9	1.2	9.9	0.2	0.6	5.5
170	Thabo Sefolosha	Atl	SF	31	10	20.3	42.2	13.8	0.16	15	0.533	27	0.556	19	0.368	0.561	5.9	4.1	10.9	1.7	13	1	0.6	6.8
171	Tim Duncan	San	C	39	10	21.8	45.5	15.2	0.154	21	0.714	51	0.431	0	0	0.49	5.9	4.8	12.7	1.4	9.1	0.2	1.3	6.3
172	Tim Hardaway Jr.	Atl	SG	23	9	9.7	20.2	16.2	0.095	6	0.667	12	0.417	14	0.143	0.349	2.2	1	5.5	0.8	11.9	0	0.11	5
173	Timofey Mozgov	Cle	C	29	13	5.8	12.1	15.1	0.323	4	0.75	15	0.4	0	0	0.447	1.2	1.6	16.4	0.2	3.7	0.23	0.23	5
174	Tobias Harris	Det	PF	23	4	39	81.3	18.6	0.104	13	0.923	34	0.5	12	0.333	0.561	14.5	9.5	14.8	3	12.5	0.75	0.75	7.6
175	Tony Allen	Mem	SG	34	4	23.4	48.7	22	0.134	13	0.692	26	0.346	7	0.143	0.387	7.5	2.8	6.8	0.8	5.7	1.25	0.5	4.4
176	Tony Parker	San	PG	33	10	26.4	55	21.5	0.147	14	0.857	82	0.488	16	0.25	0.499	10.4	2.2	4.8	5.3	31.4	0.6	0.2	7.5
177	Trevor Ariza	Hou	SF	30	5	36.2	75.4	14.7	0.185	4	0.75	23	0.391	28	0.143	0.313	6.6	4.2	6.1	0.8	3.6	2.6	0.2	3.1
178	Tristan Thompson	Cle	PF	24	21	29.6	61.7	10.6	0.12	73	0.575	93	0.527	0	0	0.559	6.7	9	17.8	0.7	3.3	0.38	0.86	4.7
179	Ty Lawson	Ind	PG	28	7	10.5	21.9	17.4	0.225	6	0.667	15	0.4	3	0	0.388	2.3	1	5.5	1.4	22.4	0.43	0	5.6
180	Tyler Johnson	Mia	SG	23	5	12.1	25.3	14	0.112	11	0.727	5	0.4	6	0.5	0.663	4.2	1.4	6.8	1.6	19.7	0.2	0	7
181	Tyler Zeller	Bos	C	26	3	12.7	26.4	22.2	0.102	6	0.667	15	0.467	0	0	0.51	6	5	20.6	0.7	10.1	0	0.67	8.7
182	Udonis Haslem	Mia	PF	35	9	9.4	19.6	14.1	0.279	7	0.714	15	0.533	0	0	0.581	2.3	3.4	21.7	0.4	7.2	0	0.11	6.2
183	Vince Carter	Mem	SG	39	4	22.7	47.3	20	0.076	8	1	23	0.348	10	0.7	0.616	11.3	3.8	9.6	1.3	11	0.5	0.25	6.7
184	Wesley Johnson	Lac	SF	28	6	12.8	26.7	10.1	0.115	3	1	5	0.4	9	0.333	0.522	2.7	3	11.6	0.3	3.7	0.17	0.67	4.2
185	Wesley Matthews	Dal	SG	29	5	34.7	72.2	19.3	0.055	19	0.789	25	0.4	35	0.286	0.475	13	3.6	6	1.2	5.6	1.2	0	4.4
186	Xavier Munford	Mem	SG	23	4	22.3	46.4	17.5	0.148	2	0	21	0.381	7	0.143	0.329	4.8	2.3	5.9	2.5	19.8	1.5	0.75	5.4
187	Zach Randolph	Mem	PF	34	4	29.9	62.3	27.7	0.097	7	0.857	62	0.371	0	0	0.4	13	8.8	17	1.8	12.3	0.25	0	7.9
188	Zaza Pachulia	Dal	C	31	5	22.4	46.6	13.9	0.06	17	0.882	24	0.375	0	0	0.524	6.6	5.4	14.1	3.2	21.8	0.6	0.2	8.7
